Location (Caller),lattitude,longitude,cluster level
Copenhagen,55.6867243,12.5700724,1
Istanbul,41.0766019,29.052495,1
Istanbul,41.0766019,29.052495,1
Ghent,51.0538286,3.7250121,0
Istanbul,41.0766019,29.052495,1
Immingham,53.6159963,-0.2136727,0
Copenhagen,55.6867243,12.5700724,1
Istanbul,41.0766019,29.052495,1
"Immingham, Nordic House",53.62767865,-0.2039157999999999,0
"Immingham, Nordic House",53.62767865,-0.2039157999999999,0
"Copenhagen, DFDS House",55.6867243,12.5700724,1
Dieppe,49.9246182,1.0791444,0
"Immingham, Nordic House",53.62767865,-0.2039157999999999,0
"Immingham, Nordic House",53.62767865,-0.2039157999999999,0
"Immingham, Nordic House",53.62767865,-0.2039157999999999,0
Whitfield,34.7969288,-84.9745026,2
"Vlaardingen, Terminal",51.9227863,4.329563378870851,0
"Vlaardingen, Terminal",51.9227863,4.329563378870851,0
"Vlaardingen, Terminal",51.9227863,4.329563378870851,0
"Copenhagen, DFDS House",55.6867243,12.5700724,1
"Istanbul, Nidakule Atasehir Güney",41.0766019,29.052495,1
"Immingham, Nordic House",53.62767865,-0.2039157999999999,0
"Immingham, Nordic House",53.62767865,-0.2039157999999999,0
"Immingham, Nordic House",53.62767865,-0.2039157999999999,0
Whitfield,34.7969288,-84.9745026,2
Larkhall,55.7401064,-3.9746052,0
"Vlaardingen, Terminal",51.9227863,4.329563378870851,0
"Istanbul, Nidakule Atasehir Güney",41.0766019,29.052495,1
"Immingham, Nordic House",53.62767865,-0.2039157999999999,0
"Copenhagen, DFDS House",55.6867243,12.5700724,1
Immingham,53.6159963,-0.2136727,0
"Copenhagen, DFDS House",55.6867243,12.5700724,1
"Immingham, Nordic House",53.62767865,-0.2039157999999999,0
Larkhall,55.7401064,-3.9746052,0
"Vlaardingen, Terminal",51.9227863,4.329563378870851,0
"Copenhagen, DFDS House",55.6867243,12.5700724,1
"Immingham, Nordic House",53.62767865,-0.2039157999999999,0
"Immingham, Nordic House",53.62767865,-0.2039157999999999,0
"Copenhagen, DFDS House",55.6867243,12.5700724,1
"Immingham, Nordic House",53.62767865,-0.2039157999999999,0
Belfast,54.596391,-5.9301829,0
"Hamburg, Högerdamm",53.5463253,10.01426,1
"Immingham, Nordic House",53.62767865,-0.2039157999999999,0
"Copenhagen, DFDS House",55.6867243,12.5700724,1
"Copenhagen, DFDS House",55.6867243,12.5700724,1
"Immingham, Nordic House",53.62767865,-0.2039157999999999,0
Dover,51.1251275,1.3134228,0
"Hamburg, Högerdamm",53.5463253,10.01426,1
"Copenhagen, DFDS House",55.6867243,12.5700724,1
"Immingham, Nordic House",53.62767865,-0.2039157999999999,0
Istanbul,41.0766019,29.052495,1
"Istanbul, Nidakule Atasehir Güney",41.0766019,29.052495,1
Gothenburg,57.7072326,11.9670171,1
"Hamburg, Högerdamm",53.5463253,10.01426,1
"Copenhagen, DFDS House",55.6867243,12.5700724,1
"Immingham, Nordic House",53.62767865,-0.2039157999999999,0
"Immingham, Nordic House",53.62767865,-0.2039157999999999,0
"Copenhagen, Harbour House",55.713146,12.592566,1
"Copenhagen, DFDS House",55.6867243,12.5700724,1
"Immingham, Nordic House",53.62767865,-0.2039157999999999,0
"Immingham, Nordic House",53.62767865,-0.2039157999999999,0
"Immingham, Nordic House",53.62767865,-0.2039157999999999,0
"Immingham, Nordic House",53.62767865,-0.2039157999999999,0
"Immingham, Nordic House",53.62767865,-0.2039157999999999,0
"Immingham, Nordic House",53.62767865,-0.2039157999999999,0
"Immingham, Nordic House",53.62767865,-0.2039157999999999,0
"Immingham, Nordic House",53.62767865,-0.2039157999999999,0
"Immingham, Nordic House",53.62767865,-0.2039157999999999,0
"Immingham, Nordic House",53.62767865,-0.2039157999999999,0
"Immingham, Nordic House",53.62767865,-0.2039157999999999,0
"Immingham, Nordic House",53.62767865,-0.2039157999999999,0
